site,country,title,author,content_publish_date,paragraph_text
espn,us,Long-awaited confetti and champagne from inside the Celtics' locker room: 'Nobody wanted to give us no time',Ramona Shelburne,"Jun 18, 2024, 12:00 PM ET","""We were always good and talented,"" Tatum said. ""The game needed to slow down. We got to the conference finals two out of our first three years, and it just seemed like we were all so much older than we actually are. Everybody was like, 'Oh, they didn't win it. They can't play together. They should trade him.' And I was always like, 'I just turned 26 and he's 27.'"
espn,us,Long-awaited confetti and champagne from inside the Celtics' locker room: 'Nobody wanted to give us no time',Ramona Shelburne,"Jun 18, 2024, 12:00 PM ET","THE CULMINATION OF Brown and Tatum's partnership was there for all to see Monday night as they traded compliments on the championship dais and postgame news conferences. Brown said Tatum could've won Finals MVP. Tatum said Brown deserved it. They hugged as brothers, then lifted the championship trophy."
espn,us,Long-awaited confetti and champagne from inside the Celtics' locker room: 'Nobody wanted to give us no time',Ramona Shelburne,"Jun 18, 2024, 12:00 PM ET","Stevens stood off to the side, watching it all unfold."
espn,us,Long-awaited confetti and champagne from inside the Celtics' locker room: 'Nobody wanted to give us no time',Ramona Shelburne,"Jun 18, 2024, 12:00 PM ET","""It's what it's all about,"" Stevens told ESPN as he stood in a quiet hallway, celebrating with his family as the party inside the Celtics locker room raged on."
espn,us,Long-awaited confetti and champagne from inside the Celtics' locker room: 'Nobody wanted to give us no time',Ramona Shelburne,"Jun 18, 2024, 12:00 PM ET","As Stevens outlined what lessons he'd take from this championship, former Celtics player Tacko Fall and his young daughter stopped by to ask the best place to get a car back to his hotel. Stevens stopped what he was doing to help him with the logistics."
espn,us,Long-awaited confetti and champagne from inside the Celtics' locker room: 'Nobody wanted to give us no time',Ramona Shelburne,"Jun 18, 2024, 12:00 PM ET","""Listen, when we're all done in our time with the Celtics, as coaches, as players, all that's going to really matter is how we treated each other,"" Stevens said. ""Nothing else matters. The banners don't matter because if you win banners and you don't treat each other well, then you never get together later. And the whole point is to have a reunion later."""
espn,us,Long-awaited confetti and champagne from inside the Celtics' locker room: 'Nobody wanted to give us no time',Ramona Shelburne,"Jun 18, 2024, 12:00 PM ET","More than anyone in the organization, Stevens is responsible for the decision to keep giving Brown and Tatum time to build their relationship and grow into the leaders of the franchise."
espn,us,Long-awaited confetti and champagne from inside the Celtics' locker room: 'Nobody wanted to give us no time',Ramona Shelburne,"Jun 18, 2024, 12:00 PM ET","He was the coach who signed off on drafting each of them, then the executive entrusted with building the right team around them. He was the decision-maker on all of the trade offers that came in from around the league as teams hoped Boston would lose patience with one or both of them."
